title,featured,visible,images,description,order
Desserts,false,true,/img/kobby-mendez-idtwdkt2j2o-unsplash.webp,test,7
Burgers,false,true,/img/mae-mu-i7a_phlcqk8-unsplash.webp,"Morbido bun e carni selezionatissime per un sapore unico",5
Soul Toasts,false,true,/img/gaby-yerden-ankbooxo9gi-unsplash.webp,test,2
Piatti Unici,false,true,/img/louis-hansel-mvz_gjm_tok-unsplash.webp,test,4
Burrito,false,true,/img/levi-ventura-ppnlboz_xho-unsplash.webp,"test F﻿atti avvolgere dal gusto! M﻿orbide ed invitanti sin dal primo morso",3
Salads,false,true,/img/adam-bartoszewicz-maqdfcth8oo-unsplash.webp,test,6
Starters,false,true,/img/eiliv-aceron-d5pbkqj0lu8-unsplash.webp,"Voglia di qualcosa di sfizioso? Tutto inizia da qui!",1
